TeamName,Conference,Abbreviation
Mississippi College,Non-DI (GSC),N/A (D-II)
Valdosta State,Non-DI (GSC),N/A (D-II)
Camp Lejeune,Non-DI (historical),N/A
Frederick,Non-DI (historical),N/A
Hayward State,Non-DI (historical),N/A
Parsons,Non-DI (historical),N/A
Parsons (Iowa),Non-DI (historical),N/A
Pensacola NAS,Non-DI (historical),N/A
Quantico Marines,Non-DI (historical),N/A
Savannah State,Non-DI (historical),N/A (D-II)
U.S. International,Non-DI (historical),N/A
West Texas State,Non-DI (historical),N/A (D-II)
West Virginia Tech,Non-DI (historical),N/A
Angelo State,Non-DI (Lone Star),N/A (D-II)
Eastern New Mexico,Non-DI (Lone Star),N/A (D-II)
Texas A&M-Commerce,Non-DI (Lone Star),N/A (D-II)
Texas A&M-Kingsville,Non-DI (Lone Star),N/A (D-II)
Western New Mexico,Non-DI (Lone Star),N/A (D-II)
Central Missouri State,Non-DI (MIAA),N/A (D-II)
Emporia State,Non-DI (MIAA),N/A (D-II)
Fort Hays State,Non-DI (MIAA),N/A (D-II)
Missouri Southern,Non-DI (MIAA),N/A (D-II)
Ohio Wesleyan,Non-DI (NCAC),N/A (D-III)
Wittenberg,Non-DI (NCAC),N/A (D-III)
Tufts,Non-DI (NESCAC),N/A (D-III)
Augustana (South Dakota),Non-DI (NSIC),N/A (D-II)
Mankato State,Non-DI (NSIC),N/A (D-II)
Moorhead State,Non-DI (NSIC),N/A (D-II)
St. Cloud State,Non-DI (NSIC),N/A (D-II)
Linfield,Non-DI (NWC),N/A (D-III)
Guilford,Non-DI (ODAC),N/A (D-III)
West Chester,Non-DI (PSAC),N/A (D-II)
New Mexico Highlands,Non-DI (RMAC),N/A (D-II)
Langston,Non-DI (SAC NAIA),N/A (NAIA)
Carson-Newman,Non-DI (SAC),N/A (D-II)
Lenoir-Rhyne,Non-DI (SAC),N/A (D-II)
Mars Hill,Non-DI (SAC),N/A (D-II)
Newberry,Non-DI (SAC),N/A (D-II)
Texas Lutheran,Non-DI (SCAC),N/A (D-III)
Trinity (Texas),Non-DI (SCAC),N/A (D-III)
California Lutheran,Non-DI (SCIAC),N/A (D-III)
Whittier,Non-DI (SCIAC),N/A (D-III)
Central State,Non-DI (SIAC),N/A (D-II)
Edward Waters,Non-DI (SIAC),N/A (D-II/NAIA)
Tuskegee,Non-DI (SIAC),N/A (D-II)
Tampa,Non-DI (SSC),N/A (D-II)
Nebraska-Omaha,Non-DI (Summit non-football),Summit
Minnesota-Morris,Non-DI (UMAC),N/A (D-III)
Lincoln,Non-DI (various),N/A (D-II)
Bishop,Non-DI (various/NAIA),N/A
Central Connecticut State,Northeast Conference,NEC
Duquesne,Northeast Conference,NEC
LIU,Northeast Conference,NEC
Robert Morris,Northeast Conference,NEC
St. Francis (PA),Northeast Conference,NEC
Wagner,Northeast Conference,NEC
Charleston Southern,OVC-Big South Association,OVC-Big South
Eastern Illinois,OVC-Big South Association,OVC-Big South
Gardner-Webb,OVC-Big South Association,OVC-Big South
Lindenwood,OVC-Big South Association,OVC-Big South
Southeast Missouri State,OVC-Big South Association,OVC-Big South
Tennessee State,OVC-Big South Association,OVC-Big South
Tennessee Tech,OVC-Big South Association,OVC-Big South
UT Martin,OVC-Big South Association,OVC-Big South
Western Illinois,OVC-Big South Association,OVC-Big South
Oregon State,Pac-12 Conference,Pac-12
Washington State,Pac-12 Conference,Pac-12
Bucknell,Patriot League,Patriot
Colgate,Patriot League,Patriot
Fordham,Patriot League,Patriot
Holy Cross,Patriot League,Patriot
Lafayette,Patriot League,Patriot
Lehigh,Patriot League,Patriot
Richmond,Patriot League,Patriot
Villanova,Patriot League,Patriot
William & Mary,Patriot League,Patriot
Boston University,Patriot League (non-football),Patriot
Davidson,Pioneer Football League,PFL
Dayton,Pioneer Football League,PFL
Drake,Pioneer Football League,PFL
Morehead State,Pioneer Football League,PFL
Presbyterian,Pioneer Football League,PFL
San Diego,Pioneer Football League,PFL
Valparaiso,Pioneer Football League,PFL
Alabama,Southeastern Conference,SEC
Arkansas,Southeastern Conference,SEC
Auburn,Southeastern Conference,SEC
Florida,Southeastern Conference,SEC
Georgia,Southeastern Conference,SEC
Kentucky,Southeastern Conference,SEC
LSU,Southeastern Conference,SEC
Mississippi State,Southeastern Conference,SEC
Missouri,Southeastern Conference,SEC
Oklahoma,Southeastern Conference,SEC
Ole Miss,Southeastern Conference,SEC
South Carolina,Southeastern Conference,SEC
Tennessee,Southeastern Conference,SEC
Texas,Southeastern Conference,SEC
Texas A&M,Southeastern Conference,SEC
Vanderbilt,Southeastern Conference,SEC
Chattanooga,Southern Conference,SoCon
Citadel,Southern Conference,SoCon
East Tennessee State,Southern Conference,SoCon
Furman,Southern Conference,SoCon
Mercer,Southern Conference,SoCon
Samford,Southern Conference,SoCon
VMI,Southern Conference,SoCon
Western Carolina,Southern Conference,SoCon
Wofford,Southern Conference,SoCon
Houston Christian,Southland Conference,Southland
Incarnate Word,Southland Conference,Southland
Lamar,Southland Conference,Southland
McNeese State,Southland Conference,Southland
Nicholls State,Southland Conference,Southland
Northwestern State,Southland Conference,Southland
Southeastern Louisiana,Southland Conference,Southland
Stephen F. Austin,Southland Conference,Southland
Alabama A&M,Southwestern Athletic Conference,SWAC
Alabama State,Southwestern Athletic Conference,SWAC
Alcorn State,Southwestern Athletic Conference,SWAC
Arkansas-Pine Bluff,Southwestern Athletic Conference,SWAC
Bethune-Cookman,Southwestern Athletic Conference,SWAC
Florida A&M,Southwestern Athletic Conference,SWAC
Grambling State,Southwestern Athletic Conference,SWAC
Jackson State,Southwestern Athletic Conference,SWAC
Mississippi Valley State,Southwestern Athletic Conference,SWAC
Prairie View A&M,Southwestern Athletic Conference,SWAC
Southern,Southwestern Athletic Conference,SWAC
Texas Southern,Southwestern Athletic Conference,SWAC
Appalachian State,Sun Belt Conference,Sun Belt
Arkansas State,Sun Belt Conference,Sun Belt
Coastal Carolina,Sun Belt Conference,Sun Belt
Georgia Southern,Sun Belt Conference,Sun Belt
Georgia State,Sun Belt Conference,Sun Belt
James Madison,Sun Belt Conference,Sun Belt
Louisiana,Sun Belt Conference,Sun Belt
Louisiana-Monroe,Sun Belt Conference,Sun Belt
Marshall,Sun Belt Conference,Sun Belt
Old Dominion,Sun Belt Conference,Sun Belt
South Alabama,Sun Belt Conference,Sun Belt
Southern Mississippi,Sun Belt Conference,Sun Belt
Texas State,Sun Belt Conference,Sun Belt
Troy,Sun Belt Conference,Sun Belt
Abilene Christian,United Athletic Conference,UAC
Austin Peay,United Athletic Conference,UAC
Central Arkansas,United Athletic Conference,UAC
Eastern Kentucky,United Athletic Conference,UAC
North Alabama,United Athletic Conference,UAC
Southern Utah,United Athletic Conference,UAC
Tarleton State,United Athletic Conference,UAC
Utah Tech,United Athletic Conference,UAC
Pacific,West Coast Conference (non-football),WCC
Saint Mary's (CA),West Coast Conference (non-football),WCC
Santa Clara,West Coast Conference (non-football),WCC
Texas-Arlington,Western Athletic Conference (non-football),WAC
